loss,denorm_mae,val_loss,val_denorm_mae
0.7626,1.9147,0.5634,1.6627
0.5582,1.6284,0.4918,1.5475
0.4976,1.5277,0.474,1.5068
0.461,1.4631,0.4386,1.4338
0.4386,1.4203,0.4277,1.4079
0.4229,1.389,0.424,1.3967
0.4116,1.3665,0.4201,1.3639
0.4025,1.3481,0.4229,1.3758
0.3942,1.3303,0.4109,1.3398
0.3885,1.3176,0.4074,1.3309
0.3838,1.3067,0.4161,1.3542
0.3789,1.2968,0.4004,1.3037
0.3753,1.2873,0.4106,1.3345
0.371,1.2782,0.4163,1.3309
0.3687,1.273,0.4051,1.3067
0.3657,1.266,0.4064,1.3196
0.3632,1.2604,0.4053,1.2969
0.3613,1.2561,0.418,1.3202
0.3596,1.2504,0.4183,1.3383
0.3577,1.2471,0.4102,1.3254
0.3553,1.2422,0.4078,1.3002
0.3533,1.2384,0.4137,1.3192
0.3515,1.2332,0.4129,1.3164
0.3513,1.2327,0.4122,1.3063
0.3513,1.2318,0.4155,1.318
